Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDA51,OUT045,1865.114323
FDZ27,OUT018,768.0035652
FDT04,OUT046,648.0258763
DRC13,OUT049,2005.830574
FDR16,OUT027,5807.318928
FDQ03,OUT027,5807.318928
FDE38,OUT035,2791.524675
DRH23,OUT027,1322.917831
FDT11,OUT019,458.9675072
FDD09,OUT035,3015.781419
FDR40,OUT045,1343.211993
FDX07,OUT017,3106.129949
FDR07,OUT035,1512.466819
FDA51,OUT017,1876.357025
FDT59,OUT019,583.2033122
FDF20,OUT017,3131.784659
FDR13,OUT045,1910.492058
FDY26,OUT049,3529.868857
FDW04,OUT017,1983.047726
FDK52,OUT017,3628.169042
FDN60,OUT049,2557.287963
FDM09,OUT019,417.4385208
FDP46,OUT049,1351.165779
FDB50,OUT019,162.8973004
NCQ29,OUT049,3918.602019
FDP16,OUT027,5804.764309
FDX33,OUT018,2424.250152
FDP07,OUT010,488.2758447
FDN22,OUT046,3921.91429
FDF39,OUT049,4049.936562
FDS21,OUT017,972.3545914
NCM42,OUT013,1701.630896
FDK50,OUT019,382.5703952
DRF13,OUT027,3993.304838
FDH35,OUT018,2455.627727
FDP60,OUT018,1508.07244
DRJ49,OUT027,3124.031026
NCT42,OUT019,354.3062547
FDE38,OUT049,2749.873199
FDI04,OUT049,3195.624273
NCH54,OUT045,2627.049491
FDT56,OUT049,889.2660487
DRD15,OUT018,3717.558101
FDV58,OUT013,3070.993695
FDP21,OUT049,3128.327566
FDH05,OUT013,3812.145951
FDR10,OUT027,4326.827658
NCP06,OUT045,2517.385194
FDF33,OUT049,1694.873024
DRK37,OUT013,3125.205655
DRH49,OUT045,1328.372615
FDT58,OUT013,2725.867312
FDD41,OUT018,1659.053196
FDP40,OUT018,1721.824145
FDM51,OUT027,2867.10397
FDO45,OUT010,191.7934319
FDW33,OUT010,249.2038861
FDY24,OUT045,874.0700555
FDB10,OUT010,584.6044797
FDM40,OUT035,2094.668902
NCI06,OUT017,3059.33653
FDW12,OUT019,327.7401048
FDX48,OUT027,4124.19682
NCW05,OUT027,2907.85319
FDX27,OUT017,1487.084056
DRM37,OUT045,3176.411509
FDA38,OUT045,3972.783016
FDR36,OUT046,648.1594895
FDZ45,OUT046,3199.044921
FDG05,OUT017,2562.242099
FDK28,OUT013,4125.138256
FDV47,OUT045,1349.923462
FDN21,OUT045,2616.28906
FDP20,OUT027,3122.195037
FDI35,OUT045,3155.599413
DRY23,OUT013,710.5649957
FDA56,OUT017,2010.848903
FDB09,OUT013,1959.548402
NCO26,OUT027,3041.917772
FDQ49,OUT018,2408.733593
FDI52,OUT027,3116.185878
FDZ44,OUT027,3042.895955
FDZ09,OUT018,2471.975064
FDY03,OUT049,1861.731376
NCG42,OUT017,2006.253404
DRI13,OUT027,5804.764309
FDQ32,OUT013,2003.223507
FDW16,OUT035,1399.797576
FDU27,OUT046,784.8818795
FDR28,OUT010,382.315954
FDQ49,OUT010,380.2248056
FDS37,OUT046,1931.076901
FDW26,OUT018,3502.797189
FDX12,OUT018,3779.091122
NCP06,OUT013,2419.658632
FDW45,OUT010,351.7898992
NCN30,OUT049,1474.421486
FDN24,OUT049,861.3392555
NCL41,OUT027,1124.796168
FDR02,OUT019,265.7313314
FDD09,OUT010,436.038586
FDS33,OUT010,191.7934319
FDU22,OUT045,1911.950019
FDI53,OUT013,2478.324523
DRH01,OUT049,2899.745441
FDX32,OUT013,2131.910351
NCP30,OUT018,619.2161898
FDB60,OUT045,3108.536415
FDB14,OUT049,1438.290277
NCP02,OUT035,882.7517985
FDJ10,OUT017,2005.453263
FDG34,OUT046,1743.142955
NCB18,OUT017,1360.757557
FDM16,OUT049,1090.886665
FDW25,OUT018,1347.032898
FDB35,OUT010,214.3379597
DRN11,OUT013,2144.781038
FDF41,OUT019,584.7473865
FDH16,OUT045,1390.334983
NCQ50,OUT018,3367.53347
DRH23,OUT018,885.6021583
DRJ37,OUT013,2406.008441
DRJ24,OUT027,5223.26896
FDY16,OUT035,3155.454229
FDQ27,OUT045,1685.091463
FDZ33,OUT045,2509.066311
FDF29,OUT045,2065.772569
FDA08,OUT049,2557.912081
FDG31,OUT046,1070.79356
FDE34,OUT019,439.7574314
NCR30,OUT027,1445.112538
FDV33,OUT035,4199.940447
DRZ24,OUT018,1902.13068
NCL54,OUT035,2948.942549
FDR12,OUT049,2927.323022
NCC54,OUT046,3844.234738
DRN59,OUT013,787.1235189
FDX50,OUT019,266.7087552
FDV31,OUT027,4906.043152
NCA29,OUT027,4448.362053
FDW60,OUT049,2902.424032
FDX08,OUT017,3143.688438
DRD49,OUT013,3848.300496
FDD33,OUT046,3731.231881
FDW35,OUT013,704.480803
FDJ36,OUT017,1671.375241
FDV51,OUT035,2780.596492
FDW36,OUT046,1691.80567
FDH35,OUT046,2565.472113
NCS30,OUT027,3123.052843
FDN49,OUT017,604.1842876
FDL08,OUT018,3764.128961
FDI09,OUT013,3863.548798
FDP19,OUT018,1965.226091
FDU21,OUT010,131.2613592
NCP41,OUT045,1695.955479
FDY10,OUT013,1848.810157
FDP12,OUT018,604.0984899
NCN26,OUT049,1927.11683
FDK44,OUT013,2881.234532
FDC28,OUT049,1702.819969
FDJ41,OUT027,5804.764309
NCT29,OUT035,1964.612298
NCH42,OUT019,583.2033122
FDU60,OUT018,2579.826863
FDS02,OUT045,3137.159772
FDC51,OUT046,2035.55131
FDU03,OUT013,3115.199082
FDX39,OUT045,3581.293415
NCY05,OUT010,131.2613592
NCL06,OUT027,5807.318928
FDD32,OUT035,1281.696471
NCN41,OUT045,1946.971091
NCX53,OUT049,2177.396167
FDU57,OUT019,352.1295964
FDQ23,OUT046,1680.253247
FDQ52,OUT045,3883.793025
FDC14,OUT045,621.0522852
FDY09,OUT035,2953.497681
FDQ28,OUT045,2570.447539
FDV25,OUT046,3735.687195
FDJ07,OUT035,1962.733627
DRB25,OUT049,1678.787331
FDK52,OUT019,584.7473865
FDY52,OUT027,1409.17578
FDB28,OUT046,3166.021835
FDT36,OUT035,606.7360098
FDV25,OUT017,3735.124415
NCN07,OUT027,3124.031026
FDC57,OUT017,3100.956257
FDQ03,OUT018,3648.130889
FDU23,OUT017,2783.231084
NCX41,OUT035,3512.606178
NCD06,OUT035,766.8366524
FDW08,OUT045,1690.444395
NCU29,OUT017,2434.399438
NCE06,OUT013,2457.669194
FDV52,OUT010,274.6862238
FDB02,OUT017,2946.573998
NCR18,OUT045,631.4135473
FDK16,OUT049,1472.011136
NCQ29,OUT010,584.6044797
FDZ01,OUT019,259.6534483
FDW27,OUT035,2546.225965
FDD17,OUT018,3727.787626
FDW39,OUT013,2882.081568
DRH59,OUT045,1066.494641
FDS52,OUT013,1640.375535
FDU40,OUT027,5583.208202
NCF54,OUT013,2877.244524
FDH46,OUT045,1678.498031
NCP14,OUT049,1675.698724
FDH50,OUT049,3163.193705
DRF15,OUT010,363.4056873
FDV27,OUT027,2421.739643
NCJ06,OUT049,1965.063897
FDN02,OUT018,3287.60064
FDQ51,OUT049,769.8431206
FDQ07,OUT017,3590.528927
FDS45,OUT049,1682.858712
NCJ06,OUT045,1967.495726
FDD36,OUT035,1971.312276
FDY25,OUT045,3164.860469
FDU52,OUT046,2440.32244
DRK47,OUT017,3770.653566
NCL30,OUT017,1996.061576
FDN22,OUT035,3947.678343
NCF30,OUT027,3121.216854
FDK03,OUT035,4052.583711
FDT45,OUT017,885.7354171
NCC54,OUT027,5807.318928
FDP08,OUT018,2960.585053
FDU44,OUT046,2566.402483
DRG39,OUT035,817.6060699
FDU32,OUT049,2023.513035
FDY27,OUT049,2964.937169
NCP54,OUT013,1988.557535
NCZ41,OUT049,1988.472658
DRL49,OUT013,2220.846993
FDI05,OUT018,1171.803865
FDY56,OUT045,3783.094761
DRC13,OUT013,2010.190656
NCV29,OUT017,3009.413497
FDR24,OUT049,1370.707499
FDZ34,OUT018,3013.520557
FDP37,OUT035,1982.995928
FDX08,OUT027,5025.697338
FDS57,OUT045,2096.785162
NCG18,OUT049,1649.808404
FDK25,OUT018,2675.508473
FDH53,OUT049,1264.141615
DRI59,OUT018,3600.828964
FDA52,OUT046,2885.870548
FDT20,OUT010,131.2613592
FDE36,OUT019,381.3756689
FDI24,OUT017,2935.925988
FDB28,OUT018,3086.392918
FDV11,OUT017,2925.927645
FDP01,OUT046,2481.599328
FDD34,OUT027,4326.827658
FDJ50,OUT027,1168.68353
FDZ44,OUT013,1937.348827
DRO59,OUT035,1161.505402
DRB48,OUT045,622.1560293
FDR21,OUT018,2729.751644
NCE42,OUT010,583.0604054
FDO23,OUT046,1441.697012
NCE30,OUT018,3317.035159
FDQ22,OUT035,603.9744456
FDY01,OUT045,1885.218938
FDS08,OUT017,2910.016845
FDG28,OUT018,3769.168252
FDQ51,OUT018,768.6832091
FDB05,OUT017,3843.94273
FDO56,OUT049,1913.679169
FDE02,OUT018,1419.640816
FDN45,OUT017,3583.338551
FDS09,OUT013,816.771988
NCA54,OUT018,2903.3537
FDP09,OUT010,575.9916348
FDC53,OUT045,1530.050708
NCM55,OUT017,3140.68715
FDL09,OUT018,2653.614047
FDA11,OUT019,236.01525
FDA50,OUT045,1481.89398
FDC23,OUT017,2976.302557
FDE22,OUT049,2534.295618
FDD23,OUT046,3136.56905
NCA29,OUT049,2934.19076
FDK38,OUT046,2426.13656
DRC13,OUT046,1982.50257
NCP43,OUT049,2976.580707
FDX28,OUT049,1533.831164
FDF08,OUT049,1387.012696
FDZ33,OUT046,2459.010614
FDD10,OUT049,2929.107262
FDO58,OUT017,2581.409285
FDI50,OUT017,3832.810201
FDO58,OUT045,2677.383922
FDX08,OUT013,3020.701918
NCK17,OUT010,131.2613592
FDF39,OUT035,4188.836574
FDU45,OUT010,268.3970805
NCJ18,OUT018,1872.818216
DRC27,OUT019,584.615265
DRC25,OUT035,1374.460209
FDU59,OUT035,2567.852033
FDU28,OUT035,3114.303877
NCP30,OUT046,647.6329022
FDB39,OUT018,885.5394851
FDE41,OUT013,1445.537379
DRH11,OUT010,131.6556578
FDA58,OUT045,3819.876447
FDU50,OUT046,1901.686616
FDM34,OUT013,2008.529275
FDM44,OUT027,2867.10397
FDR39,OUT045,3133.089332
FDM25,OUT045,2931.217046
FDQ49,OUT049,2495.955508
DRH25,OUT018,809.9747616
FDM09,OUT027,4356.272865
FDL44,OUT019,380.3494921
NCR42,OUT018,606.1796478
DRL59,OUT046,837.8231123
FDX43,OUT013,2749.799891
DRK47,OUT010,584.6044797
FDU48,OUT018,1970.643053
FDY12,OUT045,775.3725131
NCN43,OUT018,1993.618377
NCM55,OUT018,3010.769653
FDQ21,OUT027,3117.622366
FDX13,OUT035,4102.101345
NCK30,OUT027,5807.318928
FDG20,OUT049,2892.770999
DRG27,OUT017,621.0542595
FDY14,OUT018,3865.390531
FDP59,OUT035,1670.373144
FDU60,OUT017,2837.218896
NCC18,OUT019,420.2951977
DRJ39,OUT017,3575.121322
FDS07,OUT049,1878.045159
FDM08,OUT027,5806.049733
FDP51,OUT045,1923.021266
FDU16,OUT035,1313.830454
FDH12,OUT013,1689.793209
DRE48,OUT010,490.7319316
NCL42,OUT027,5804.764309
